"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT01165554","Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels",,"Completed","Has Results","Brain Fibrillarab Levels","Drug: [18F] Flutemetamol","The Sensitivity of Blinded Visual Interpretations of [18F]Flutemetamol Positron Emission Tomography (PET) Images Without Anatomic Brain Images for Detecting Brain Fibrillar Amyloid β.|Blinded Visual Interpretation of Each Subject's Flutemetamol F 18 Injection Brain PET Images as Normal, Without Anatomic Brain Images.|Blinded Visual Interpretation of Each Subject's Flutemetamol F 18 Injection Brain PET Images as Abnormal, With Anatomic CT Brain Images for Reference.|Blinded Visual Interpretation of Each Subject's Flutemetamol F 18 Injection Brain PET Images as Normal, With Anatomic CT Brain Images for Reference.","GE Healthcare|i3 Statprobe|Covance","All","55 Years and older   (Adult, Older Adult)","Phase 3","203","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","GE-067-007","May 2010","November 2011","November 2011","July 20, 2010","December 4, 2013","December 4, 2013","GE Healthcare, Princeton, New Jersey, United States","","https://ClinicalTrials.gov/show/NCT01165554"
12,"NCT01924858","A Positron Emission Tomography (PET) Study to Investigate the Brain Biodistribution of 18F GSK2647544 in Healthy Subjects to Determine Its Ability to Cross the Blood-brain-barrier.",,"Terminated","No Results Available","Alzheimer's Disease","Drug: GSK2647544 oral|Drug: [18F]GSK2647544 IV bolus","Whole brain PET VT of [18F]-GSK2647544|Safety and tolerability assessment following oral administration of GSK2647544|GSK2647544 PK assessment","GlaxoSmithKline","Male","30 Years to 55 Years   (Adult)","Phase 1","4","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","117155","August 19, 2013","March 3, 2014","March 3, 2014","August 19, 2013","null","October 19, 2017","GSK Investigational Site, London, United Kingdom|GSK Investigational Site, London, United Kingdom","","https://ClinicalTrials.gov/show/NCT01924858"
13,"NCT03106740","Evaluating the Role of Neuroinflammation in Low Back Pain","IGNITE","Recruiting","No Results Available","Low Back Pain|Back Pain With Radiation|Back Pain Without Radiation|Back Pain Lower Back Chronic|Back Ache|Pain, Chronic","Drug: Minocycline Hydrochloride 100mg Capsule|Diagnostic Test: Magnetic Resonance-Positron Emission Tomography Imaging|Other: Placebo Capsule","Changes in brain PET signal|Changes in spinal PET signal|Changes in pain outcomes as measured by self report on a 0-100 numerical pain rating scale","Marco Loggia|National Institute of Neurological Disorders and Stroke (NINDS)|Massachusetts General Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","145","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","2017P000179|1R01NS095937-01A1","October 10, 2017","September 2021","September 2021","April 10, 2017","null","March 21, 2018","Massachusetts General Hospital, Charlestown, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT03106740"
14,"NCT01009359","Evaluation of the Neuroinflammation Pattern of BAY85-8102 F-18, DPA-714 in Probable Alzheimers Disease Patients Versus Healthy Volunteers and Radiation Dosimetry of F 18, DPA-714 in Healthy Volunteers",,"Completed","No Results Available","Diagnostic Imaging","Drug: F-18 DPA-714 (BAY85-8102)","Discrimination of probable Alzhemimer disease patients from healthy volunteers by BAY85-81 F-18, DPA-714 brain PET imaging as evaluated by different quantification approaches|Discrimination of probable Alzhemimer disease patients from healthy volunteers by BAY85-81 F-18, DPA-714 brain PET imaging as evaluated by visual analysis and standard parameters(e.g. Standardized Uptake Values = SUV)|Electrocardiogram (ECG)|Blood pressure|Serum protein|Serum creatinine|Serum GOT (Glutamat-Oxalacetate-Transaminase)|Adverse events collection","Bayer","All","50 Years and older   (Adult, Older Adult)","Phase 1","22","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","13150|2009-009358-26","October 2009","July 2010","October 2010","November 6, 2009","null","July 31, 2013","Turku, Finland|Amsterdam, Netherlands","","https://ClinicalTrials.gov/show/NCT01009359"
15,"NCT00329706","Metabolic Cerebral Imaging in Incipient Dementia (MCI-ID)",,"Completed","No Results Available","Dementia","Procedure: FDG-PET brain scan","change from baseline in neuropsychological (cognitive,functional) test results|utilization of healthcare resources|PET results, compared with working diagnoses made before and after time of PET|rates of prescription of AD-specific therapies","University of California, Los Angeles|Centers for Medicare and Medicaid Services","All","65 Years and older   (Older Adult)","Not Applicable","710","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","02-10-079, 03-04-026","June 2006","January 2017","January 2017","May 25, 2006","null","May 2, 2017","Mayo Clinic, Phoenix, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|UCLA Medical Center, Los Angeles, California, United States|Santa Monica-UCLA Medical Center, Santa Monica, California, United States|Gene E. Myers Cardiac and Vascular Consultants, Sarasota, Florida, United States|Lahey Clinic Hospital, Burlington, Massachusetts, United States|University of Buffalo, Buffalo, New York, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT00329706"
16,"NCT02236897","PET Imaging in ALS Patients",,"Completed","No Results Available","Amyotrophic Lateral Sclerosis (ALS)","Other: PET Scanning","Glutamate Receptor Distribution","Johns Hopkins University|ALS Association","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NA_00073452","August 2013","March 2017","March 2017","September 11, 2014","null","March 7, 2017","Johns Hopkins University, Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02236897"
17,"NCT00613119","PET Evaluation of Brain Peripheral Benzodiazepine Receptors Using [11C]PBR28 in Frontotemporal Dementia",,"Completed","No Results Available","Frontotemporal Lobar Degeneration|Dementia","","Outcome measures will be the amount of [11C]PBR28 binding in the brain in FTD patients and in healthy controls.|We will quantify the radioligand's brain uptake, washout, plasma clearance, and distribution volume using compartmental modeling.","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","35 Years and older   (Adult, Older Adult)","","108","NIH","Observational","Time Perspective: Prospective","080066|08-M-0066","January 31, 2008","null","July 13, 2017","February 12, 2008","null","August 23, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00613119"
18,"NCT01656785","68Ga-BNOTA-PRGD2 PET/CT in Evaluation of Stroke","GRGDS","Unknown status","No Results Available","Stroke","Drug: 68Ga-BNOTA-PRGD2","Visual and semiquantitative assessment (Standardized Uptake Values = SUVs) of cerebral infarction region, SUV ratios (SUVinfarction/SUV contralateral)|Adverse events collection","Peking Union Medical College Hospital","All","30 Years to 70 Years   (Adult, Older Adult)","Early Phase 1","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PUMCHNM004","February 2012","December 2017","December 2017","August 3, 2012","null","April 7, 2017","Department of Nuclear Medicine, Peking Union Medical College Hospital, Beijing, Beijing, China","","https://ClinicalTrials.gov/show/NCT01656785"
19,"NCT03451123","FET-PET/MRI for Surgical Assessment of Pediatric Brain Tumors",,"Recruiting","No Results Available","Pediatric Brain Tumors","Drug: FET PET/MRI","Percentage of patients whose surgical plan change with FET-PET/MRI compared to MRI alone.|Percentage of patients who have residual tumor after surgery detected with FET-PET/MRI","University of Alabama at Birmingham","All","6 Years to 18 Years   (Child, Adult)","Early Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","R17-077","April 23, 2018","February 2021","February 2021","March 1, 2018","null","May 15, 2018","UAB Advanced Imaging Facility, Birmingham, Alabama, United States","","https://ClinicalTrials.gov/show/NCT03451123"
20,"NCT02743377","PET Imaging of Phosphodiesterase-4 (PDE4) in Brain and Peripheral Organs of McCune-Albright Syndrome",,"Recruiting","No Results Available","Nervous System Disease","Other: PET|Other: MRI","Rolipram binding in brain|Rolipram uptake in peripheral organs","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 1|Phase 2","35","NIH","Interventional","Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","160093|16-M-0093","April 15, 2016","June 16, 2016","March 25, 2020","April 19, 2016","null","July 4, 2018","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02743377"
21,"NCT02230592","PET Imaging of Brain mGluR1 Receptors Using [18F]FIMX",,"Completed","No Results Available","Anxiety Disorder|Major Depressive Disorder","","Ability to measure mGluR1 in brain","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 55 Years   (Adult)","","19","NIH","Observational","Time Perspective: Prospective","140016|14-M-0016","November 8, 2013","June 16, 2016","June 16, 2016","September 3, 2014","null","July 4, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02230592"
22,"NCT01198197","PET Brain and Whole Body Distribution Studies for Nociceptin/Orphanin FQ Peptide (NOP) Receptor Using [11C]NOP-1A",,"Completed","No Results Available","Pain|Anxiety|Depression","Drug: NOP-1A","For the PET scans, we will measure the regional densities of NOP receptors as distribution volume (VT). Distribution volume is the ratio at equilibrium of brain uptake to the concentration of parent radioligand in plasma.","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 50 Years   (Adult)","Early Phase 1","41","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","100204|10-M-0204","September 3, 2010","null","February 28, 2014","September 9, 2010","null","July 4, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01198197"
23,"NCT03389100","Tau PET Imaging in the Northern Manhattan Study of Metabolism and Mind.","NOMEM-Tau","Enrolling by invitation","No Results Available","Diabetes Mellitus, Type 2|Pre-diabetes","Drug: 18F-MK6240 injection","18F-MK6240 standardized update value ratio (SUVR)","Columbia University|Hebrew Home at Riverdale|National Institute on Aging (NIA)","All","55 Years to 69 Years   (Adult, Older Adult)","Phase 2","150","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AAAR1419b|R01AG050440|R01AG055299|RF1AG051556","March 5, 2018","December 2020","June 2021","January 3, 2018","null","March 15, 2018","Columbia University Medical Center, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT03389100"
24,"NCT02562989","[18F]MK-6240 Positron Emission Tomography (PET) Tracer First-in-Human Validation Study (MK-6240-001)",,"Completed","Has Results","Alzheimer's Disease|Amnestic Mild Cognitive Impairment","Drug: [18F]MK-6240, ~185 MBq|Drug: [18F]MK-6240, ~160 MBq","Number of Participants With Adverse Events (AEs)|Number of Participants Who Discontinued Study Due to an AE|Effective Dose of [18F]MK-6240|Organ Effective Dose of [18F]MK-6240|Standardized Uptake Value Ratio (SUVR) of [18F]MK-6240 in Brain Regions of Interest|Intra-subject Test-Retest (T-RT) Variability of Standardized Uptake Value Ratio (SUVR) in Brain Regions of Interest","Merck Sharp & Dohme Corp.","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","13","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","6240-001|2015-001659-58|MK-6240-001","October 19, 2015","December 27, 2016","December 27, 2016","September 29, 2015","July 23, 2018","July 23, 2018","","","https://ClinicalTrials.gov/show/NCT02562989"
25,"NCT01974037","Capsaicin on Salty Gustatory Cortices",,"Completed","No Results Available","Volunteers","Dietary Supplement: Capsaicin|Dietary Supplement: NaCl","Neuroimaging changes of salty gustatory cortices","Zhiming Zhu|Third Military Medical University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","80","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","SATIETY-2","May 2013","October 2013","December 2013","November 1, 2013","null","January 11, 2016","Daping Hospital, The Third Military Medical University, Chongqing, Chongqing, China","","https://ClinicalTrials.gov/show/NCT01974037"
26,"NCT01894646","PET Imaging of Extrathalamic α4β2-nicotinic Acetylcholine Receptors in Health and Disease With [18F]XTRA",,"Active, not recruiting","No Results Available","Measure of Uptake of XTRA in the Brain","Radiation: Positron Emission Tomography (PET) Imaging","PET Imaging of extrathalamic α4β2-nicotinic acetylcholine receptors in health and disease with [18F]XTRA","Johns Hopkins University|National Institutes of Health (NIH)","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","60","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","NA_00076249","February 2013","August 2018","August 2018","July 10, 2013","null","November 20, 2017","Johns Hopkins University, Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01894646"
27,"NCT02108015","Evaluation of a Novel Positron Emission Tomography (PET Radiotracer for TARP Gamma-8",,"Terminated","No Results Available","Healthy Volunteers","Procedure: Brain Imaging (PET)|Procedure: Aterial Line|Procedure: Blood Sampling","Binding of 18F-TARP252 in brain","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 55 Years   (Adult)","Phase 1","6","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","140068|14-M-0068","March 5, 2014","September 5, 2014","December 1, 2016","April 9, 2014","null","August 8, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02108015"
28,"NCT02144792","Development and Clinical Application of [11C]Verapamil-PET",,"Unknown status","No Results Available","Epilepsy","Drug: [11C] -verapamil PET","Measured Asymmetric index[(SUV in Right regions - SUV in Left regions)/(SUV in Right regions+ SUV in left regions)] in all three groups|Number of patients with side effect of cyclosporine and [11C]-verapamil PET","Seoul National University Hospital","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","0720130520","May 2013","May 2014","December 2014","May 22, 2014","null","May 22, 2014","Seoul National University Hospital, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02144792"
29,"NCT01035164","Evaluation of ZK 6032924 in Probable Alzheimer's Disease Patients Versus Healthy Volunteers and the Radiation Dosimetry of ZK 6032924 in Healthy Volunteers",,"Completed","No Results Available","Positron-Emission Tomography|Alzheimer's Disease","Drug: F-18 FEDAA1106 (BAY85-8101)","Visual analysis/description of the uptake and description of brain PET scans|Standardized uptake value (SUV) in various cerebral regions/volumes of interest (ROI/VOI) assumed and found to be involved in the pathophysiology of Alzheimer's disease.|Standard quantification variables derived from 3D PET imaging and brain modeling|Standard Safety Measurement:adverse event collection|Standard Safety Measurement:electrocardiogram|Standard Safety Measurement:safety laboratory|Standard Safety Measurement: vital signs","Bayer","All","50 Years and older   (Adult, Older Adult)","Phase 1","25","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","91683|2006-006045-14|311401","June 2007","January 2010","January 2010","December 18, 2009","null","January 8, 2015","Amsterdam, Netherlands|Stockholm, Sweden|Stockholm, Sweden","","https://ClinicalTrials.gov/show/NCT01035164"
30,"NCT03109626","Docosahexaenoic Acid (DHA) Replacement for Treatment in Spinocerebellar Ataxia 38","SCA38DHA","Active, not recruiting","No Results Available","SCA38","Dietary Supplement: DHA","Change from Baseline SARA score at 16 weeks and 40 weeks|Change from Baseline ICARS score at 16 weeks and 40 weeks|Brain FDG-PET","Barbara Borroni|Azienda Ospedaliera Spedali Civili di Brescia","All","18 Years and older   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CE NP1821","June 17, 2015","September 17, 2015","August 30, 2018","April 12, 2017","null","May 24, 2018","AO Spedali Civili, Brescia, BS, Italy","","https://ClinicalTrials.gov/show/NCT03109626"
31,"NCT03632226","Evaluation of a Novel PET Radioligand to Image OGA",,"Recruiting","No Results Available","Pharmacokinetics|Adult","","The indentifiability and time stability of the distribution volume calculated with compartmental modeling of [F18 OGA-1]. In the test-retest study the retest variability will be calculated.|Whole-body distribution and dosimetry of [18F]OGA-1","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 100 Years   (Adult, Older Adult)","","31","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","160105|16-M-0105","May 2, 2016","December 31, 2018","December 31, 2019","August 15, 2018","null","August 15, 2018","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT03632226"
32,"NCT03287765","Evaluating the Relationship Between Tau PET Imaging and CSF Biomarkers of AD (Alzheimer Disease) in Humans","ADRC proj 1","Recruiting","No Results Available","Alzheimer Disease","Drug: 18F-AV-1451","Examine the association among T807-PET measures of PHF-tau.|Characterize the amount and spatial distribution of T807-PET measures in healthy aging. preclinical AD, and early symptomatic AD.|Characterize the amount and spatial distribution of T807-PET measures in preclinical AD.|Characterize the amount and spatial distribution of T807-PET measures in early symptomatic AD.|Examine the association among T807-PET measures of concentrations of CSF biomarkers. and cognitive performance.|Examine the association among T807-PET measures of cognitive performance.|Evaluate the change in T807-PET measures over time in asymptomatic amyloid-positive individuals and its association with changes in concentrations of CSF biomarkers.","Washington University School of Medicine","All","65 Years and older   (Older Adult)","Phase 2","80","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IND 123119, Protocol F","May 2016","May 2021","November 2021","September 19, 2017","null","September 19, 2017","Washington University School of Medicine, Saint Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT03287765"
